iter	MultiClass
592	0.3924601351
593	0.3924242093
594	0.3923388807
595	0.3922655648
596	0.3921454934
597	0.3920985365
598	0.3919956591
599	0.3919081244
600	0.391817745
601	0.3917254815
602	0.3917039413
603	0.3916565487
604	0.3915290868
605	0.3914111804
606	0.3913812602
607	0.3913180228
608	0.3912662256
609	0.3911619142
610	0.3911160278
611	0.3910947882
612	0.3909507212
613	0.3909141164
614	0.3908462709
615	0.3907433018
616	0.3907040239
617	0.3906676799
618	0.3905898318
619	0.3905381589
620	0.3905135466
621	0.3904362875
622	0.3904101249
623	0.3903419228
624	0.390310027
625	0.3902303169
626	0.390179982
